fecha,titulo,sumario,LastModificationDate,Id,PublicationDate,Url,Nodes_en,AuthorName
03-12-2024,Aceite: Bolivia cuenta con el stock suficiente para cubrir la demanda interna,"El Gobierno informó que el país está produciendo 457.000 toneladas de aceite, de las cuales el mercado local solo consume 88.000 toneladas.",2024-12-04T00:22:19.407Z,394063,2024-12-04T00:00:00Z,aceite-bolivia-cuenta-con-el-stock-suficiente-para-cubrir-la-demanda-interna,ECONOMÍA,Juan Carlos Fortún
03-12-2024,Abren debate por PGE 2025 comisión sesionará desde las 11:00 del miércoles ,El arcismo ya tiene apoyo de los disidentes de CC para conseguir votos en las comisiones ,2024-12-04T01:44:52.483Z,394068,2024-12-03T23:56:46Z,abren-debate-por-pge-2025-comision-sesionara-desde-las-1100-del-miercoles,PAÍS ,Marco Antonio Chuquimia
03-12-2024,Los ajedrecistas Zambrana y Ticona ganan dos bronces para Bolivia en los Bolivarianos,"Sumaron esas preseas en la modalidad Blitz Individual, en el evento por el Bicentenario que se disputa en la ciudad peruana de Ayacucho",2024-12-03T23:43:52.997Z,394065,2024-12-03T23:41:32Z,los-ajedrecistas-zambrana-y-ticona-ganan-dos-bronces-para-bolivia-en-los-bolivarianos,Multideportivo,EL DEBER
03-12-2024,"Argentinos en Santa Cruz preparan celebración, a dos años de la obtención de la Copa del Mundo 2022","La actividad ha sido denominada La tercera estrella, Argentina campeón del mundo 2022, que tendrá lugar en el Museo Altillo Beni",2024-12-03T23:11:27.04Z,394064,2024-12-03T23:06:39Z,argentinos-en-santa-cruz-preparan-celebracion-a-dos-anos-de-la-obtencion-de-la-copa-del-mundo-2022,Fútbol,Rainer Duran
03-12-2024,Paro de micros: Transportistas van al cuarto intermedio para consultar a sus bases si levantan su medida,"Este martes, en el segundo día de paro indefinido, los micreros se reunieron con el alcalde",2024-12-04T14:34:04.68Z,394062,2024-12-03T22:51:00Z,paro-de-micros-transportistas-van-al-cuarto-intermedio-para-consultar-a-sus-bases-si-levantan-su-med,Santa Cruz,
03-12-2024,Campaña busca evitar matrimonios y uniones infantiles forzadas en Bolivia,Entre 2014 y 2023 se registraron más de 4.800 matrimonios de adolescentes mujeres de 16 a 17 años; y 487 casos involucraron niñas entre 12 y 15 años,2024-12-03T22:46:48.397Z,394059,2024-12-03T22:40:00Z,campana-busca-evitar-matrimonios-y-uniones-infantiles-forzadas-en-bolivia,PAÍS ,Agencia ABI
03-12-2024,20 años de cárcel para casero que asesinó a su colega en Abapó,"Nilo Acebo Viveros fue imputado por el delito de homicidio y este decidió someterse a una audiencia de procedimiento abreviado, en la cual se declaró culpable, y fue condenado",2024-12-03T22:37:41.577Z,394057,2024-12-03T22:23:00Z,20-anos-de-carcel-para-casero-que-asesino-a-su-colega-en-abapo,Santa Cruz,Ariel Melgar Cabrera
03-12-2024,Fesirmes denuncia 'masacre blanca' en el Municipio con el despido de 500 profesionales de salud,"Advierten con radicalizar medidas, puesto que el despido afecta -afirman- a los servicios de consulta externa, terapias y otros",2024-12-03T22:33:44.657Z,394058,2024-12-03T22:22:00Z,fesirmes-denuncia-masacre-blanca-en-el-municipio-con-el-despido-de-500-profesionales-de-salud,Santa Cruz,Tanya Imaña Serrano
03-12-2024,San Antonio se olvidó de ganar; perdió (2-3) en casa frente a Nacional Potosí,El equipo santo suma cinco partidos seguidos sin ganar en el Clausura y van siete que no festeja de local en el estadio Carlos Villegas de Entre Ríos,2024-12-03T22:17:18.027Z,394056,2024-12-03T22:14:08Z,san-antonio-se-olvido-de-ganar-perdio-2-3-en-casa-frente-a-nacional-potosi,Fútbol,Rainer Duran
03-12-2024,"Acción, humor y terror: Creature Commandos revoluciona el universo animado de DC",La producción ya está haciendo historia: ha recibido un 100% de críticas positivas en Rotten Tomatoes. Se estrenará oficialmente el 5 de diciembre ,2024-12-03T22:15:22.487Z,394055,2024-12-03T22:08:00Z,accion-humor-y-terror-creature-commandos-revoluciona-el-universo-animado-de-dc,GeekED,Mauricio David Vasquez Carvajal
03-12-2024,Arce asegura que la sentencia contra Goni es un mensaje contra la impunidad ,Sanchez de Lozada vive en EEUU desde octubre de 2003 ,2024-12-03T22:04:41.253Z,394054,2024-12-03T21:49:49Z,arce-asegura-que-la-sentencia-contra-goni-es-un-mensaje-contra-la-impunidad,PAÍS ,Marco Antonio Chuquimia
03-12-2024,Gobernación niega cierre de la unidad de terapia intensiva del Hospital de Niños,"La institución calificó como alarmistas los videos que circulan en redes sociales, en los que se habla sobre esta situación. El viernes pasado, los médicos de ese hospital advirtieron del cierre de la mencionada unidad de atención",2024-12-03T22:06:58.943Z,394053,2024-12-03T21:40:00Z,gobernacion-niega-cierre-de-la-unidad-de-terapia-intensiva-del-hospital-de-ninos,Santa Cruz,
03-12-2024,El Barcelona despejó sus dudas con una goleada (1-5) de visitante sobre el Mallorca,"El encuentro adelantado de la jornada 19 de la Liga española se llevó a cabo en el Estadio Mallorca Son Moix, ante 22.352 espectadores",2024-12-03T21:21:50.343Z,394052,2024-12-03T21:21:17Z,el-barcelona-despejo-sus-dudas-con-una-goleada-1-5-de-visitante-sobre-el-mallorca,Fútbol,Agencia EFE
03-12-2024,¿Cuán viable es que los BRICS tengan su propia moneda común?,"Donald Trump ha prometido aranceles del 100 % a las importaciones de los países BRICS, si crean una nueva moneda que rivalice con el dólar.",2024-12-03T21:17:03.38Z,394050,2024-12-03T21:15:00Z,cuan-viable-es-que-los-brics-tengan-su-propia-moneda-comun,Dw,Deutsche Welle
03-12-2024,Bolivia firma convenios de exploración de litio con dos empresas europeas y una argentina,"Bolivia firmó este martes convenios con la australiana-alemana Eau Litihum, la francesa-boliviana Geolit Actaris y la argentina Tecpetrol, para la realización de estudios en tres de sus salares menores en Coipasa (Oruro), Pastos Grandes y Empexa (Potosí)",2024-12-03T21:13:02.97Z,394049,2024-12-03T21:09:00Z,bolivia-firma-convenios-de-exploracion-de-litio-con-dos-empresas-europeas-y-una-argentina,ECONOMÍA,Agencia EFE
03-12-2024,"Perú afirma que la preservación de su famoso Machu Picchu ""es imperativa y categórica""","El Ministerio de Transportes y Comunicaciones (Mincetur) informó la semana pasada que la localidad de Machu Picchu estará conectada desde el próximo año con una carretera, que se avanza con una inversión de 521 millones de soles",2024-12-03T21:08:46.2Z,394048,2024-12-03T21:04:00Z,peru-afirma-que-la-preservacion-de-su-famoso-machu-picchu-es-imperativa-y-categorica,Mundo,Agencia EFE
03-12-2024,Policía despliega 40.000 efectivos para prevenir hechos delictivos en fin de año,"El plan tiene tres fases importantes: campañas preventivas, refuerzo de patrullajes y operativos de alto impacto",2024-12-04T11:13:00.067Z,394051,2024-12-03T21:00:00Z,policia-despliega-40000-efectivos-para-prevenir-hechos-delictivos-en-fin-de-ano,PAÍS ,Ariel Melgar Cabrera
03-12-2024,El presidente surcoreano revoca la ley marcial tras rechazo del Parlamento y protestas,"Yoon realizó este anuncio en una comparecencia por televisión de madrugada en Corea del Sur, horas después de que el Parlamento del país votase a favor de levantar esta medida, lo que según la Constitución, obligaba a su revocación.",2024-12-04T01:18:52.347Z,394047,2024-12-03T20:59:00Z,el-presidente-surcoreano-revoca-la-ley-marcial-tras-rechazo-del-parlamento-y-protestas,Mundo,Agencia EFE
03-12-2024,GV San José se impuso (4-1) a Universitario y sueña en grande,"El equipo orureño, que está en zona de Copa Sudamericana, ganó en casa y aspira a lograr un cupo para la Copa Libertadores. SE jugó en el estadio Jesús Bermúdez ",2024-12-03T20:56:12.197Z,394046,2024-12-03T20:52:59Z,gv-san-jose-se-impuso-4-1-a-universitario-y-suena-en-grande,Fútbol,Rainer Duran
03-12-2024,"62 casos de rabia se registraron en el país, en lo que va del año",La cifra corresponde a casos detectados en canes (59) y en humanos (3). Cochabamba y Chuquisaca son los departamentos con más infecciones,2024-12-03T20:54:50.13Z,394045,2024-12-03T20:44:00Z,62-casos-de-rabia-se-registraron-en-el-pais-en-lo-que-va-del-ano,PAÍS ,
03-12-2024,Autopsia señala que el menor que cayó a un canal murió ahogado,"Su cuerpo será velado en la comunidad ayorea de la Villa Primero de Mayo, según anunciaron sus familiares y amigos",2024-12-03T22:02:15.327Z,394044,2024-12-03T20:42:05Z,autopsia-senala-que-el-menor-que-cayo-a-un-canal-murio-ahogado,Santa Cruz,Ariel Melgar Cabrera
03-12-2024,El presidente surcoreano anuncia que revocará la ley marcial,"El presidente había decretado la ley marcial horas antes en un movimiento que causó conmoción en el país y que provocó las protestas de centenares de ciudadanos que se congregaron ante la Asamblea Nacional, el Parlamento del país en Seúl.",2024-12-03T20:40:37.997Z,394043,2024-12-03T20:33:00Z,el-presidente-surcoreano-anuncia-que-revocara-la-ley-marcial,Mundo,Agencia EFE
03-12-2024,El presidente de Corea del Sur declara la ley marcial en plena batalla con la oposición en el Parlamento y desata protestas en su contra,"El Ejército pasa a tomar el control y se restringen ciertas libertades mientras crece la tensión por la tensión entre el poder Ejecutivo y el Legislativo, controlado por la oposición",2024-12-03T20:29:57.393Z,394040,2024-12-03T20:29:08Z,el-presidente-de-corea-del-sur-declara-la-ley-marcial-en-plena-batalla-con-la-oposicion,BBC,BBC Mundo
03-12-2024,Argentina anuncia el fin de la gratuidad de atención médica para extranjeros en los hospitales públicos,"La medida se aplicará a foráneos no residentes en ese país, y formará parte de las modificaciones al régimen migratorio",2024-12-03T20:20:54.473Z,394042,2024-12-03T20:09:00Z,argentina-anuncia-el-fin-de-la-gratuidad-de-atencion-medica-para-extranjeros-en-los-hospitales-publi,Mundo,
03-12-2024,"Messi, 'Cucho' y Riqui Puig, son parte del equipo ideal de la MLS 2024","El mejor onceno de la temporada es escogido por los medios de comunicación, los jugadores de la MLS y el personal técnico de los clubes",2024-12-03T19:52:09.367Z,394041,2024-12-03T19:46:25Z,messi-cucho-y-riqui-puig-son-parte-del-equipo-ideal-de-la-mls-2024,Fútbol,Agencia EFE
03-12-2024,"PGE 2025: CAO asegura que existen normas contra el agio, y el Gobierno sostiene que el control no es una medida en contra los productores",El sector agropecuario volvió a rechazar la disposición del proyecto de ley del presupuesto. ,2024-12-04T01:44:52.483Z,394039,2024-12-03T19:30:00Z,pge-2025-cao-asegura-que-existen-normas-contra-el-agio-y-el-gobierno-sostiene-que-el-control-no-es-u,ECONOMÍA,Juan Carlos Fortún
03-12-2024,Aclaración necesaria,,2024-12-03T21:49:18.417Z,394038,2024-12-03T19:00:00Z,aclaracion-necesaria,Opinión,Paula Peña
03-12-2024,Humberto Viviani es el elegido para tomar las riendas de Tomayapo,"El entrenador beniano fue anunciado este martes como nuevo director técnico del conjunto tarijeño. Reemplazará al argentino Pablo Rubinich, quien decidió dar un paso al costado el lunes.",2024-12-03T20:36:56.187Z,394037,2024-12-03T18:16:00Z,humberto-viviani-es-el-elegido-para-tomar-las-riendas-de-tomayapo,Fútbol,Pedro Rivero de Ugarte
03-12-2024,"Natalia Jiménez, vocalista de La Quinta Estación se casó con su manager ","La artista española , le dio el Sí quiero a Arnold Hemkes, su actual manager, en una boda celebrada en Guadalajara, México.",2024-12-03T18:13:56.683Z,394031,2024-12-03T18:13:24Z,natalia-jimenez-vocalista-de-la-quinta-estacion-se-caso-con-su-manager,Sociales,Lizeth Ortiz Pimentel
03-12-2024,Competiciones programa la fecha 28 y anuncia el reprogramado entre The Strongest y Oriente,La Dirección de Competiciones de la FBF comunicó este martes la programación de la jornada 28 del certamen y el partido reprogramado de la fecha 19.,2024-12-03T18:15:00.697Z,394036,2024-12-03T18:12:00Z,competiciones-programa-la-fecha-28-y-anuncia-el-reprogramado-entre-the-strongest-y-oriente,Fútbol,Pedro Rivero de Ugarte
03-12-2024,"Intervienen un velorio para detener a la pareja de una mujer que era velada, lo acusan de supuesto feminicidio ",El hecho se registró en el municipio de Warnes (norte de Santa Cruz),2024-12-03T20:14:34.153Z,394034,2024-12-03T17:57:46Z,intervienen-un-velorio-para-detener-a-la-pareja-de-una-mujer-que-era-velada-lo-acusan-de-supuesto-fe,Santa Cruz,EL DEBER
03-12-2024,"""Kraven: El Cazador"" da un adelanto explosivo antes de su estreno mundial",La cinta llegará a los cines del país el jueves 12 de diciembre,2024-12-03T17:49:58.313Z,394035,2024-12-03T17:44:00Z,kraven-el-cazador-da-un-adelanto-explosivo-antes-de-su-estreno-mundial,GeekED,Mauricio David Vasquez Carvajal
03-12-2024,Las latinoamericanas entre las 100 mujeres del año de la BBC,La BBC reveló su lista de 100 mujeres inspiradoras e influyentes de todo el mundo para 2024 y hay 15 representantes latinas.,2024-12-03T17:37:35.853Z,394030,2024-12-03T17:37:30Z,las-latinoamericanas-entre-las-100-mujeres-del-ano-de-la-bbc,BBC,
03-12-2024,¿Cuánto aportan los migrantes indocumentados a la economía de EE.UU.? (y cómo puede afectar una deportación masiva como la que propone Trump),"
                El presidente electo de EE.UU., Donald Trump, confirmó su intención de declarar una emergencia nacional y de utilizar el ejército para implementar su plan de deportación masiva de inmigrantes indocumentados.
            ",2024-12-03T17:32:24.18Z,394021,2024-12-03T17:31:32Z,cuanto-aportan-los-migrantes-indocumentados-a-la-economia-de-eeuu-y-como-puede-afectar-una-deportaci,BBC,
03-12-2024,Gobierno firma acuerdo con tres empresas extranjeras para aprovechar recursos en salares bolivianos ,"Las empresas realizaran pruebas durante 90 y 120 días en los salares de Coipasa, Pastos Grandes y Empexa.",2024-12-03T20:32:49.933Z,394033,2024-12-03T17:30:00Z,gobierno-firma-acuerdo-con-tres-empresas-extranjeras-para-aprovechar-recursos-en-salares-bolivianos,ECONOMÍA,Juan Carlos Fortún
03-12-2024,"Jhonny Fernández pone condiciones a transportistas: “Si no suspenden el paro, no hay diálogo”",El transporte tiene hasta las 16:30 para decidir si suspende su medida y avanza en las negociaciones.,2024-12-04T14:34:04.68Z,394032,2024-12-03T17:28:00Z,jhonny-fernandez-pone-condiciones-a-transportistas-si-no-suspenden-el-paro-no-hay-dialogo,Santa Cruz,Eduardo Ruilowa
03-12-2024,La magnate vietnamita que está en una carrera contrarreloj para recaudar US$9.000 millones para evitar su ejecución,"Truong My Lan está luchando por su vida: si puede devolver el 75% de lo que robó, podría salvarse.",2024-12-03T20:26:58.013Z,394020,2024-12-03T17:21:43Z,la-magnate-vietnamita-que-esta-en-una-carrera-contrarreloj-para-recaudar-us9000-millones-para-evitar,BBC,
03-12-2024,"¿Impresionante o de mal gusto? Jaguar impulsa el mayor cambio de su historia con un nuevo prototipo, concepto y logo","El fabricante de vehículos de lujo presentó su nuevo prototipo eléctrico y, al igual que el polémico video de lanzamiento, dividió a la opinión pública. ",2024-12-03T17:20:49.09Z,394023,2024-12-03T17:19:55Z,impresionante-o-de-mal-gusto-jaguar-impulsa-el-mayor-cambio-de-su-historia-con-un-nuevo-prototipo-co,BBC,
03-12-2024,From Software sorprende con nuevos desarrollos y deja pistas sobre Bloodborne,Hidetaka Miyazaki ha revelado detalles emocionantes sobre el futuro de la compañía en una entrevista con motivo del 30 aniversario de PlayStation,2024-12-03T17:18:16.067Z,394029,2024-12-03T17:09:00Z,from-software-sorprende-con-nuevos-desarrollos-y-deja-pistas-sobre-bloodborne,GeekED,Mauricio David Vasquez Carvajal
03-12-2024,"¿Y si en lugar de hacer una prueba, hablamos?: cómo la conversación puede convertirse en una nueva clase de examen","Al contrario que el examen, que suele ser cerrado y autoritario, el carácter de la conversación puede ser abierto y democrático.",2024-12-03T16:37:24.613Z,394024,2024-12-03T16:37:19Z,y-si-en-lugar-de-hacer-una-prueba-hablamos-como-la-conversacion-puede-convertirse-en-una-nueva-clase,BBC,
03-12-2024,Jeanette aparece en video junto a la agrupación  Euphoria,"En el videoclip se ve a la cantante bailar al ritmo de la nueva versión ""Por qué te vas"" de la agrupacón boliviana Euphoria . ",2024-12-03T17:01:38.95Z,394028,2024-12-03T16:16:02Z,jeanette-aparece-en-video-junto-a-la-agrupacion-euphoria,GENTE,Lizeth Ortiz Pimentel
03-12-2024,Suman 11 muertos y cientos de familias damnificadas por lluvias," Santa Cruz registra su primera víctima tras el hallazgo del cuerpo de un menor de 13 años, que cayó a un canal de drenaje en la jornada del lunes.",2024-12-03T20:34:29.857Z,394026,2024-12-03T16:14:00Z,suman-11-muertos-y-cientos-de-familias-damnificadas-por-lluvias,PAÍS ,EL DEBER
03-12-2024,"Larach califica de ""mitin político"" el cabildo convocado para este miércoles",Asimismo instó al Ejecutivo Municipal realizar un estudio técnico y presentarlo al Legislativo para responder a las demandas del transporte que está en paro indefinido,2024-12-03T16:46:54.157Z,394027,2024-12-03T16:04:00Z,larach-califica-de-mitin-politico-el-cabildo-convocado-para-este-miercoles,Santa Cruz,EL DEBER
03-12-2024,"El provocativo humor de Lucho Miranda, el exitoso comediante chileno que ha hecho de su parálisis cerebral su mejor chiste","
                Pasó de ser contador a comediante hace sólo 4 años. Y hoy, Luis Miranda llena escenarios con sus auténticas rutinas de humor negro donde aborda la discapacidad sin complejos. Desde su casa en Chile, le contó su historia a BBC Mundo.
            ",2024-12-03T16:10:59.573Z,394022,2024-12-03T16:03:00Z,el-provocativo-humor-de-lucho-miranda-el-exitoso-comediante-chileno-que-ha-hecho-de-su-paralisis-cer,BBC,
03-12-2024,En qué consiste el nuevo programa de autorizaciones ETA para viajar a Reino Unido a partir de enero y a quién afecta,"A partir de 2025, todas las personas que deseen viajar a este país para una estadía corta necesitarán solicitar previamente un permiso ETA.",2024-12-03T16:01:18.223Z,394025,2024-12-03T15:58:38Z,en-que-consiste-el-nuevo-programa-de-autorizaciones-eta-para-viajar-a-reino-unido-a-partir-de-enero-,BBC,
03-12-2024,Gobierno dice que el PGE 2025 reorienta recursos de la Renta Dignidad para beneficiar a los más vulnerables,Las autoridades calculan que por año unos 40.000 adultos mayores se incorporan al universo de beneficiarios de la Renta Dignidad.,2024-12-04T01:44:52.483Z,394018,2024-12-03T15:56:32Z,gobierno-dice-que-el-pge-2025-reorienta-recursos-de-la-renta-dignidad-para-beneficiar-a-los-mas-vuln,ECONOMÍA,EL DEBER
03-12-2024,Encuentran el cuerpo del adolescente que cayó a un canal de drenaje en pleno aguacero ,"Gracias a la colaboración de cinco grupos de rescate, la búsqueda se intensificó y dio resultados casi al mediodía de este martes. El menor, de 13 años, pertenecía a la comunidad Ayorea, que está instalada en la Villa Primero de Mayo en Santa Cruz de la Sierra.",2024-12-03T21:29:49.68Z,394019,2024-12-03T15:39:00Z,encuentran-el-cuerpo-del-adolescente-que-cayo-a-un-canal-de-drenaje-en-pleno-aguacero,Santa Cruz,EL DEBER
03-12-2024,Antonela Roccuzzo y Lionel Messi son la cara de una marca deportiva,"Se trata de una campaña para Adidas, marca con la que Leo trabaja hace tiempo, la cual ahora suma a su esposa.",2024-12-03T15:21:22.893Z,394015,2024-12-03T15:20:56Z,antonela-roccuzzo-y-lionel-messi-son-la-cara-de-una-marca-deportiva,Sociales,Kathryn Chavez
03-12-2024,El 99% de los estudiantes de Santa Cruz ya cobró el Bono Juancito Pinto,Solo unos 5.000 estudiantes faltan por cobrar el incentivo de Bs 200. Pueden hacerlo hasta el 14 de diciembre.,2024-12-03T15:45:09.87Z,394016,2024-12-03T15:06:00Z,el-99-de-los-estudiantes-de-santa-cruz-ya-cobro-el-bono-juancito-pinto,Santa Cruz,Juan Delgadillo Perez
03-12-2024,Gobierno plantea incentivos de $us 1 y $us 2 por la producción de un millar de pie cúbico de gas natural,Los artículos se encuentran en el proyecto de Ley de Reactivación de la Exploración y Explotación de Hidrocarburos.,2024-12-03T15:02:34.217Z,394007,2024-12-03T15:02:29Z,gobierno-plantea-incentivos-de-us-1-y-us-2-por-la-produccion-de-un-millar-de-pie-cubico-de-gas-natur,ECONOMÍA,EL DEBER
03-12-2024,Ronico Cuéllar se une al hogar Don Bosco para evitar su cierre,"La feria solidaria se llevará a cabo el próximo 14 de diciembre, de 14:00 a 19:00, en el hogar Don Bosco, ubicado en la avenida Centenario.",2024-12-03T15:42:38.093Z,394017,2024-12-03T15:00:00Z,ronico-cuellar-se-une-al-hogar-don-bosco-para-evitar-su-cierre,Sociales,Kathryn Chavez
03-12-2024,Encapuchados tomaron tierras productivas con el apoyo de fusiles tácticos M-1,"La Policía retomó un predio asaltado, pero poco después los avasalladores irrumpieron en otros terrenos productivos y desmantelaron el campamento. Este grupo se organiza para traficar propiedades a pesar de los procesos en el INRA",2024-12-03T23:38:43.687Z,394014,2024-12-03T14:23:55Z,encapuchados-tomaron-tierras-productivas-con-el-apoyo-de-fusiles-tacticos-m-1,Santa Cruz,Guider Arancibia Guillen
